Timestamp,T7/betaL,AF3/betaL,Pz/betaL,AF4/betaL,T8/betaL,T7/theta,AF3/theta,Pz/theta,AF4/theta,T8/theta,T7/alpha,AF3/alpha,Pz/alpha,AF4/alpha,T8/alpha,T7/betaH,AF3/betaH,Pz/betaH,AF4/betaH,T8/betaH,T7/gamma,AF3/gamma,Pz/gamma,AF4/gamma,T8/gamma
2023-05-14 17:47:29.014,0.563,2.710,1.633,0.644,1.206,3.717,338.234,2.504,262.363,5.265,1.464,49.893,0.840,39.785,1.148,0.494,0.879,0.420,0.681,0.491,0.719,0.365,0.418,0.550,0.409
2023-05-14 17:47:29.141,0.452,2.370,1.531,0.411,1.232,3.954,344.314,2.899,264.153,5.114,1.897,46.282,0.787,36.480,1.095,0.472,0.857,0.480,0.577,0.541,0.696,0.397,0.442,0.543,0.363
2023-05-14 17:47:29.270,0.350,1.907,1.337,0.282,1.199,3.793,303.043,3.221,230.894,5.006,2.205,37.355,0.878,29.115,1.203,0.438,0.839,0.566,0.544,0.587,0.692,0.430,0.499,0.562,0.338
2023-05-14 17:47:29.389,0.277,1.429,1.110,0.249,1.130,3.323,227.875,3.366,172.626,4.878,2.269,25.906,1.043,19.918,1.392,0.406,0.833,0.635,0.581,0.613,0.690,0.460,0.560,0.593,0.347
2023-05-14 17:47:29.516,0.239,1.019,0.915,0.278,1.057,2.720,143.554,3.311,107.815,4.704,2.048,14.938,1.185,11.285,1.575,0.387,0.829,0.660,0.656,0.611,0.672,0.480,0.591,0.615,0.385
2023-05-14 17:47:29.644,0.234,0.750,0.793,0.331,0.985,2.178,76.662,3.094,55.526,4.515,1.607,6.963,1.224,4.997,1.659,0.390,0.816,0.630,0.728,0.584,0.629,0.481,0.575,0.609,0.433
2023-05-14 17:47:29.766,0.263,0.623,0.747,0.384,0.901,1.811,44.073,2.790,27.011,4.379,1.118,3.745,1.144,2.002,1.594,0.416,0.783,0.557,0.756,0.555,0.570,0.462,0.521,0.574,0.471
2023-05-14 17:47:29.891,0.329,0.617,0.751,0.428,0.796,1.667,50.468,2.445,24.118,4.325,0.758,4.947,0.994,1.772,1.398,0.457,0.736,0.471,0.729,0.556,0.508,0.428,0.452,0.520,0.482
2023-05-14 17:47:30.018,0.427,0.705,0.784,0.450,0.671,1.685,85.465,2.123,38.846,4.283,0.634,8.853,0.849,3.128,1.172,0.502,0.689,0.405,0.669,0.606,0.456,0.390,0.395,0.469,0.465
2023-05-14 17:47:30.139,0.533,0.835,0.851,0.450,0.540,1.733,130.327,1.832,59.118,4.223,0.725,13.165,0.762,4.821,1.044,0.539,0.660,0.373,0.618,0.696,0.423,0.360,0.363,0.444,0.427
2023-05-14 17:47:30.268,0.627,0.936,0.965,0.447,0.431,1.788,170.608,1.608,77.419,4.113,0.920,16.652,0.734,6.460,1.082,0.558,0.659,0.371,0.621,0.797,0.417,0.359,0.358,0.453,0.389
2023-05-14 17:47:30.394,0.701,0.974,1.132,0.477,0.362,1.788,191.182,1.445,86.710,4.013,1.099,18.242,0.728,7.669,1.279,0.556,0.688,0.383,0.705,0.874,0.443,0.403,0.365,0.490,0.367
2023-05-14 17:47:30.514,0.756,0.933,1.331,0.552,0.335,1.740,184.451,1.338,83.516,4.018,1.183,17.443,0.706,8.128,1.551,0.538,0.734,0.394,0.855,0.899,0.502,0.493,0.371,0.534,0.374
2023-05-14 17:47:30.642,0.798,0.835,1.522,0.668,0.338,1.647,153.662,1.260,69.649,4.101,1.155,14.618,0.678,7.777,1.784,0.509,0.769,0.397,1.022,0.867,0.589,0.610,0.367,0.564,0.404
2023-05-14 17:47:30.770,0.828,0.732,1.657,0.814,0.368,1.582,108.852,1.166,49.671,4.115,1.030,10.744,0.687,6.795,1.895,0.470,0.768,0.391,1.143,0.792,0.684,0.714,0.351,0.564,0.442
2023-05-14 17:47:30.889,0.852,0.686,1.726,0.983,0.454,1.616,64.131,1.069,30.071,3.981,0.858,6.948,0.792,5.506,1.884,0.430,0.728,0.380,1.172,0.698,0.757,0.766,0.328,0.537,0.468
2023-05-14 17:47:31.016,0.910,0.757,1.735,1.184,0.628,1.897,30.677,0.974,15.859,3.741,0.761,4.116,1.027,4.297,1.813,0.404,0.670,0.372,1.103,0.614,0.783,0.749,0.303,0.496,0.471
2023-05-14 17:47:31.144,1.070,0.953,1.706,1.418,0.884,2.918,12.350,0.956,8.522,3.474,0.875,2.532,1.372,3.415,1.760,0.413,0.623,0.370,0.980,0.564,0.755,0.674,0.286,0.461,0.452
2023-05-14 17:47:31.265,1.376,1.253,1.706,1.688,1.196,4.407,5.850,1.039,6.527,3.409,1.268,1.933,1.763,2.950,1.776,0.473,0.619,0.383,0.882,0.574,0.689,0.574,0.282,0.448,0.421
2023-05-14 17:47:31.391,1.812,1.614,1.808,1.999,1.513,6.296,4.766,1.157,6.867,3.523,1.892,1.834,2.098,2.851,1.838,0.581,0.672,0.416,0.867,0.645,0.612,0.484,0.290,0.458,0.391
