Prediction,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
0.7678289,-0.035,-0.062,0.064,-0.108,-0.254,-0.127,-0.202,0.582,0.083,0.032,0.46,0.406,1.027,0.853,0.301,0.203,1.312,1.17,0.206
0.7848762,-0.026,-0.027,0.083,-0.088,-0.251,-0.111,-0.175,0.601,0.001,0.017,0.472,0.376,1.023,0.884,0.269,0.167,1.332,1.192,0.193
0.8042865,-0.027,-0.025,0.083,-0.065,-0.285,-0.152,-0.141,0.596,-0.025,-0.015,0.472,0.377,1.04,0.909,0.265,0.147,1.372,1.229,0.208
0.8156986,-0.037,-0.035,0.077,-0.078,-0.324,-0.208,-0.131,0.493,0.174,0.012,0.451,0.394,1.076,0.958,0.258,0.144,1.391,1.231,0.216
0.8045037,-0.131,-0.023,0.048,-0.116,-0.263,-0.322,-0.095,0.487,0.171,0.038,0.421,0.406,1.078,0.968,0.251,0.144,1.386,1.226,0.218
0.8552085,-0.173,0.002,0.03,-0.118,-0.156,-0.322,-0.078,0.486,0.168,0.011,0.353,0.422,1.086,0.965,0.242,0.178,1.392,1.231,0.243
0.89840966,-0.208,0.009,0.016,-0.107,-0.05,-0.306,-0.062,0.55,0.162,-0.016,0.309,0.445,1.161,0.909,0.222,0.213,1.406,1.248,0.277
0.9069424,-0.23,-0.011,0.02,-0.085,0.063,-0.295,0.011,0.635,0.148,-0.015,0.318,0.443,1.208,0.857,0.213,0.289,1.42,1.258,0.348
0.8164131,-0.255,-0.035,0.029,-0.083,0.068,-0.291,0.058,0.662,0.117,-0.006,0.505,0.433,1.262,0.721,0.216,0.321,1.41,1.238,0.374
0.8209733,-0.245,-0.087,0.063,-0.061,0.136,-0.287,0.103,0.661,0.113,-0.006,0.515,0.434,1.285,0.727,0.234,0.351,1.405,1.212,0.399
0.82093376,-0.245,-0.09,0.079,-0.036,0.136,-0.295,0.103,0.644,0.113,0.064,0.518,0.441,1.285,0.741,0.262,0.414,1.397,1.202,0.444
0.82306033,-0.245,-0.089,0.104,-0.018,0.136,-0.3,0.095,0.624,0.113,0.187,0.517,0.461,1.285,0.765,0.316,0.437,1.397,1.196,0.454
0.7992631,-0.243,-0.1,0.125,-0.014,0.118,-0.27,0.062,0.608,0.215,0.336,0.508,0.463,1.266,0.772,0.327,0.446,1.363,1.178,0.453
0.78582454,-0.253,-0.117,0.168,-0.012,0.117,-0.239,0.041,0.573,0.26,0.433,0.493,0.447,1.252,0.773,0.334,0.443,1.341,1.167,0.448
0.7738853,-0.303,-0.176,0.291,-0.002,0.149,-0.209,-0.002,0.573,0.252,0.433,0.495,0.442,1.262,0.77,0.347,0.444,1.329,1.16,0.443
0.76277095,-0.339,-0.223,0.346,-0.001,0.157,-0.204,-0.019,0.571,0.2,0.433,0.511,0.442,1.272,0.763,0.368,0.453,1.339,1.142,0.438
0.7347217,-0.432,-0.347,0.43,-0.002,0.143,-0.206,-0.028,0.571,0.189,0.432,0.511,0.434,1.281,0.747,0.404,0.452,1.327,1.118,0.43
0.7077131,-0.442,-0.379,0.46,-0.004,0.081,-0.193,-0.062,0.565,0.18,0.431,0.511,0.428,1.271,0.754,0.414,0.42,1.277,1.051,0.397
0.7130711,-0.404,-0.381,0.485,-0.004,0.061,-0.179,-0.11,0.486,0.188,0.431,0.506,0.436,1.231,0.799,0.419,0.393,1.257,1.026,0.381
0.7243225,-0.361,-0.373,0.503,-0.011,0.028,-0.157,-0.231,0.352,0.188,0.431,0.499,0.449,1.217,0.819,0.411,0.365,1.246,1.011,0.368
0.7362465,-0.346,-0.384,0.494,-0.028,0.006,-0.144,-0.268,0.236,0.188,0.431,0.379,0.465,1.199,0.824,0.397,0.312,1.236,0.979,0.331
0.7221722,-0.309,-0.436,0.457,-0.056,-0.012,-0.128,-0.294,0.313,0.188,0.442,0.373,0.482,1.166,0.802,0.357,0.29,1.237,0.956,0.313
0.7091969,-0.298,-0.453,0.439,-0.128,-0.044,-0.13,-0.334,0.372,0.188,0.446,0.389,0.485,1.153,0.79,0.34,0.286,1.253,0.921,0.303
0.7054171,-0.29,-0.433,0.42,-0.173,-0.061,-0.158,-0.338,0.382,0.114,0.424,0.438,0.498,1.129,0.781,0.33,0.298,1.27,0.91,0.309
0.71643615,-0.255,-0.34,0.357,-0.272,-0.134,-0.229,-0.329,0.364,0.055,0.332,0.45,0.503,1.111,0.787,0.332,0.307,1.278,0.906,0.317
0.728828,-0.242,-0.313,0.311,-0.282,-0.172,-0.244,-0.314,0.41,0.028,0.131,0.488,0.507,1.102,0.806,0.332,0.297,1.284,0.938,0.329
0.7408132,-0.207,-0.301,0.205,-0.262,-0.216,-0.245,-0.28,0.41,0.011,0.116,0.488,0.516,1.076,0.875,0.331,0.281,1.287,0.969,0.325
0.73459685,-0.204,-0.311,0.152,-0.248,-0.3,-0.269,-0.2,0.414,0.208,0.125,0.47,0.519,1.034,0.906,0.334,0.274,1.272,1.008,0.307
0.7214522,-0.201,-0.32,0.101,-0.271,-0.329,-0.298,-0.182,0.474,0.22,0.094,0.46,0.51,0.944,0.927,0.34,0.299,1.254,1.015,0.302
0.7156229,-0.147,-0.297,-0.009,-0.297,-0.339,-0.327,-0.174,0.487,0.214,0.07,0.485,0.5,0.916,0.926,0.345,0.338,1.24,1.021,0.299
0.71322167,-0.116,-0.282,-0.044,-0.274,-0.319,-0.334,-0.172,0.528,0.266,0.055,0.487,0.489,0.901,0.926,0.357,0.397,1.229,1.025,0.285
0.71320754,-0.115,-0.26,-0.063,-0.236,-0.292,-0.354,-0.17,0.536,0.289,0.042,0.487,0.472,0.891,0.945,0.39,0.403,1.227,1.034,0.275
